year,population_group,age,number
2000,jews_and_others_total,49,66236
2000,jews_and_others_total,5,86920
2000,jews_and_others_total,5-9,428996.5
2000,jews_and_others_total,50,63416
2000,jews_and_others_total,50-54,302400
2000,jews_and_others_total,51,61080
2000,jews_and_others_total,52,63399.5
2000,jews_and_others_total,53,62018.5
2000,jews_and_others_total,54,52486
2000,jews_and_others_total,55,42395.5
2000,jews_and_others_total,55-59,180619
2000,jews_and_others_total,56,35935.5
2000,jews_and_others_total,57,32945.5
2000,jews_and_others_total,58,33691
2000,jews_and_others_total,59,35651.5
2000,jews_and_others_total,6,86391.5
2000,jews_and_others_total,60,36912
2000,jews_and_others_total,60-64,191316.5
